"behavioral_cluster","exp_condition","count","total_n","cluster_proportion"
"2","never-engaged",3,84,0.0357142857142857
"2","nonengager",13,167,0.0778443113772455
"3","never-engaged",6,84,0.0714285714285714
"3","nonengager",8,167,0.0479041916167665
"4","never-engaged",6,84,0.0714285714285714
"4","nonengager",13,167,0.0778443113772455
"5","never-engaged",9,84,0.107142857142857
"5","nonengager",15,167,0.0898203592814371
"6","never-engaged",12,84,0.142857142857143
"6","nonengager",20,167,0.119760479041916
"7","never-engaged",18,84,0.214285714285714
"7","nonengager",28,167,0.167664670658683
"8","engager",17,136,0.125
"8","never-engaged",26,84,0.30952380952381
"8","nonengager",55,167,0.329341317365269
"8","super-engaged",3,75,0.04
"9","engager",119,136,0.875
"9","never-engaged",4,84,0.0476190476190476
"9","nonengager",15,167,0.0898203592814371
"9","super-engaged",72,75,0.96
